radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,302,220,45000,230270584,483,-79.4903476667,44.0711876667,7,3,1,1413754820,1413754965,
UMTS,302,220,45000,38488,158,-79.4900675,44.0708845,5,2,1,1413754820,1413754965,
UMTS,302,220,45000,1611349,85,-79.490212,44.070836,0,2,1,1413754820,1413754965,
UMTS,302,220,45000,231065005,162,-79.490213,44.071122,0,1,1,1413754820,1413754965,
UMTS,302,720,60075,1611349,104,-79.4903463333,44.070917,18,3,1,1413754820,1413754965,
UMTS,302,220,45000,230293301,162,-79.4858197447,44.0713307447,540,47,1,1413754820,1417321617,
UMTS,302,220,45000,230276751,162,-79.4876507857,44.0641582857,4797,14,1,1413754820,1415481954,
UMTS,302,220,45000,230277872,483,-79.4899528,44.0710442,45,5,1,1413754820,1413754965,
UMTS,302,220,45000,230272808,483,-79.490213,44.071122,0,1,1,1413754820,1413754965,
UMTS,302,220,45008,230276074,482,-79.490213,44.071122,0,1,1,1413754820,1413754965,
UMTS,302,220,45000,230276008,483,-79.5079442895,44.0607814605,1837,76,1,1413754820,1413755077,
UMTS,302,720,60075,1590599,104,-79.490418,44.0709516667,12,3,1,1413754820,1413754965,
GSM,302,720,4800,38493,,-79.490135,44.070889,0,1,1,1413754820,1413754965,
UMTS,302,220,45000,231075060,53,-79.461246,44.07080925,2253,4,1,1413754820,1415414078,
UMTS,302,220,45008,230276086,509,-79.489439,44.071026,0,1,1,1413754820,1413754965,
UMTS,302,220,45008,230283313,509,-79.4892075,44.070699,41,2,1,1413754820,1413754965,
UMTS,302,220,45008,231075060,509,-79.4598978684,44.0511792237,3893,228,1,1413754820,1417321617,
UMTS,302,220,45000,230276086,53,-79.4879195,44.075087,468,2,1,1413754820,1417321617,
UMTS,302,220,45000,230279402,62,-79.488976,44.070372,0,1,1,1413754820,1413754965,
UMTS,302,220,45008,230276008,283,-79.50437425,44.068694,53,4,1,1413754822,1413754965,
UMTS,302,220,45008,231078048,283,-79.499997,44.0696235217,289,23,1,1413754822,1413755077,
UMTS,302,220,45000,230283312,161,-79.4832212439,44.062754439,2857,41,1,1413916086,1416782364,
UMTS,302,220,45000,230278439,236,-79.4815282308,44.0592900769,205,26,1,1413918283,1413918380,
UMTS,302,220,45000,230278438,235,-79.4811208421,44.0564689474,434,19,1,1413918283,1413933282,
UMTS,302,720,60085,2246031,240,-79.4857792333,44.0341844667,574,30,1,1413929500,1413939263,
UMTS,302,720,60085,2251688,240,-79.4897211429,44.0367017857,2106,14,1,1413929500,1413939263,
UMTS,302,720,60075,1598499,80,-79.4548323889,44.0398716111,242,18,1,1413930110,1413932385,
UMTS,302,720,60075,1592612,176,-79.4724629259,44.0369887037,502,27,1,1413930110,1413930276,
UMTS,302,720,60075,1598500,88,-79.4618538182,44.0393732273,417,22,1,1413930110,1413930276,
UMTS,302,720,60085,1592612,176,-79.478636,44.0356115,19,2,1,1413930111,1413930292,
UMTS,302,720,60075,2246031,328,-79.4836735,44.03452025,52,4,1,1413930111,1413930292,
UMTS,302,720,60075,1615627,328,-79.48449,44.034352,18,2,1,1413930111,1413930292,
UMTS,302,720,60075,1598502,80,-79.456625625,44.0402859375,312,16,1,1413932181,1413932411,
UMTS,302,720,60075,1611368,168,-79.4683904444,44.0380965556,152,9,1,1413932184,1413932385,
UMTS,302,720,60075,1611369,176,-79.4743293636,44.0373435455,391,22,1,1413932184,1413932411,
UMTS,302,720,60075,1598503,88,-79.4633772667,44.0391770667,273,15,1,1413932184,1413932411,
UMTS,302,720,60075,1611370,176,-79.4811412875,44.0439834875,1506,80,1,1413932185,1413933326,
UMTS,302,720,60075,1612610,344,-79.4833586471,44.0545437647,274,17,1,1413932187,1413932411,
UMTS,302,720,60085,2244678,288,-79.4859726667,44.0554276667,20,3,1,1413932187,1413932385,
UMTS,302,720,60075,1604558,344,-79.484029625,44.054274125,143,8,1,1413932187,1413932385,
UMTS,302,720,60085,2244679,296,-79.486092,44.055457,0,1,1,1413932189,1413932385,
UMTS,302,720,60075,1596278,504,-79.4858937143,44.0557784286,58,7,1,1413932189,1413933282,
UMTS,302,720,60075,1592613,184,-79.4836867436,44.0462661538,1052,39,1,1413932189,1413933326,
UMTS,302,220,45000,230293227,166,-79.4857948333,44.0557226667,40,6,1,1413932986,1413933282,
UMTS,302,220,45000,230293198,484,-79.4923002321,44.0573054107,1067,56,1,1413932986,1416782339,
UMTS,302,220,45000,230278446,235,-79.4862549333,44.0565636,539,15,1,1413932987,1416958316,
UMTS,302,720,60075,1590630,184,-79.485971,44.055429,0,1,1,1413933045,1413933282,
UMTS,302,720,60075,1596279,504,-79.4856408,44.0557112,48,5,1,1413933045,1413933282,
UMTS,302,720,60085,1596279,296,-79.485971,44.055429,0,2,1,1413933045,1413933282,
UMTS,302,720,60075,1592107,40,-79.485404,44.0535465,73,4,1,1413933045,1413933282,
UMTS,302,720,60075,2293028,504,-79.485745,44.055649,0,1,1,1413933045,1413933282,
UMTS,302,720,60085,2293029,296,-79.485458,44.0553385,52,4,1,1413933045,1413933282,
UMTS,302,720,60075,1590570,40,-79.4854876,44.0546086,57,5,1,1413933045,1413933282,
UMTS,302,720,60085,1590630,296,-79.485971,44.055429,0,1,1,1413933045,1413933282,
UMTS,302,720,60085,2246028,240,-79.490665,44.033637,0,2,1,1413937376,1413939263,
UMTS,302,220,45000,230280186,354,-79.4664252989,44.0045982989,3770,87,1,1414009212,1416003434,
UMTS,302,220,45000,230293172,53,-79.4609169067,44.0603115067,588,75,1,1414078667,1415309124,
UMTS,302,220,45000,230293173,53,-79.4612139231,44.0573354615,420,13,1,1414078667,1414858038,
UMTS,302,220,45000,230293171,53,-79.4479243333,44.06022796,3932,75,1,1414078667,1416958316,
UMTS,302,220,45000,230283026,159,-79.460894,44.06166,0,2,1,1414078667,1414079500,
UMTS,302,220,45000,230272060,165,-79.47360791,44.05096046,2343,100,1,1414078668,1415319889,
UMTS,302,220,45000,230283186,153,-79.4641592,44.01712716,653,25,1,1414079257,1414079428,
UMTS,302,220,45000,230283199,42,-79.4564991429,43.9904558571,105,7,1,1414079258,1414079501,
UMTS,302,220,45000,230288188,356,-79.4577012353,43.9932428235,301,17,1,1414079258,1415481954,
